ticker,nome
ITUB4,Itaú Unibanco
BBAS3,Banco do Brasil
AZUL4,Azul
ABEV3,Ambev
BBDC4,Banco Bradesco
VALE3,Vale
PETR4,Petrobras
CSAN3,Cosan
COGN3,Cogna
B3SA3,B3
RADL3,RaiaDrogasil
ASAI3,Assaí
ITSA4,Itaúsa
MGLU3,Magazine Luiza
USIM5,Usiminas
EMBR3,Embraer
BRAV3,3R Petroleum
BBSE3,BB Seguridade
CMIG4,Cemig
MOTV3,Motiva
BEEF3,Minerva
LREN3,Lojas Renner
CSNA3,Siderúrgica Nacional
VAMO3,Grupo Vamos
POMO4,Marcopolo
RAIZ4,Raízen
STBP3,Santos Brasil
CPLE6,Copel
HAPV3,Hapvida
ECOR3,EcoRodovias
PRIO3,PetroRio
PETR3,Petrobras
LWSA3,Locaweb
BRFS3,BRF
PSSA3,Porto Seguro
WEGE3,WEG
MRVE3,MRV
ANIM3,Ânima Educação
CVCB3,CVC
VIVT3,Vivo
MRFG3,Marfrig
PETZ3,Petz
RAIL3,Rumo
ALOS3,Allos
BBDC3,Banco Bradesco
CYRE3,Cyrela
AZTE3,AZT Energia
PCAR3,Grupo Pão de Açúcar
VIVA3,Vivara
CSMG3,COPASA
GGBR4,Gerdau
YDUQ3,YDUQS
BPAC11,Banco BTG Pactual
SBFG3,Grupo SBF
KLBN11,Klabin
CMIN3,CSN Mineração
TIMS3,TIM
MOVI3,Movida
BRAP4,Bradespar
ELET3,Eletrobras
CBAV3,CBA
SBSP3,Sabesp
GOAU4,Metalúrgica Gerdau
KLBN4,Klabin
HYPE3,Hypera
PGMN3,Pague Menos
RDOR3,Rede D'Or
RENT3,Localiza
EQTL3,Equatorial Energia
BHIA3,Casas Bahia
AURE3,Auren Energia
ENEV3,Eneva
MULT3,Multiplan
VBBR3,Vibra Energia
DASA3,Dasa
CPLE3,Copel
UGPA3,Ultrapar
CXSE3,Caixa Seguridade
CPFE3,CPFL Energia
IGTI11,Iguatemi
IGTI11,Jereissati Participações
RCSL4,Recrusul
CURY3,Cury
FLRY3,Fleury
HBSA3,Hidrovias do Brasil
SMFT3,Smart Fit
SIMH3,Simpar
NEOE3,Neoenergia
SUZB3,Suzano
CEAB3,C&A
SRNA3,Serena Energia
BRKM5,Braskem
RAPT4,Randon
ISAE4,ISA Energia
SANB11,Banco Santander
DIRR3,Direcional
PORT3,Wilson Sons
GMAT3,Grupo Mateus
GGPS3,GPS
CASH3,Méliuz
CAML3,Camil Alimentos
ALUP11,Alupar
GRND3,Grendene
TAEE11,Taesa
INTB3,Intelbras
ALPA4,Alpargatas
QUAL3,Qualicorp
OIBR3,Oi
ODPV3,Odontoprev
SLCE3,SLC Agrícola
JHSF3,JHSF
AZZA3,Arezzo
DXCO3,Dexco
TEND3,Construtora Tenda
RECV3,PetroRecôncavo
AZEV3,Azevedo & Travassos
RANI3,Irani
AMBP3,Ambipar
TOTS3,Totvs
SMTO3,São Martinho
POSI3,Positivo
EZTC3,EZTEC
MLAS3,Multilaser
ELET6,Eletrobras
AZEV4,Azevedo & Travassos
MYPK3,Iochpe-Maxion
KEPL3,Kepler Weber
HBOR3,Helbor
SAPR4,Sanepar
SEER3,Ser Educacional
PLPL3,Plano&Plano
SAPR11,Sanepar
EGIE3,Engie
LJQQ3,Lojas Quero-Quero
TTEN3,3tentos
BRSR6,Banrisul
ARML3,Armac
FRAS3,Fras-le
SHUL4,Schulz
ENGI11,Energisa
JALL3,Jalles Machado
LOGG3,LOG CP
ONCO3,Oncoclínicas
ENJU3,Enjoei
BPAN4,Banco Pan
GUAR3,Guararapes
OPCT3,OceanPact
AMER3,Americanas
EVEN3,Even
VULC3,Vulcabras
FESA4,Ferbasa
ABCB4,Banco ABC Brasil
TGMA3,Tegma
TUPY3,Tupy
ITUB3,Itaú Unibanco
JSLG3,JSL
IRBR3,IRB Brasil RE
LAVV3,Lavvi Incorporadora
SYNE3,SYN
LIGT3,Light
KLBN3,Klabin
MILS3,Mills
ESPA3,Espaçolaser
ORVR3,Orizon
TFCO4,Track & Field
MTRE3,Mitre Realty
IFCM3,Infracommerce
BMGB4,Banco BMG
CSED3,Cruzeiro do Sul Educacional
PDGR3,PDG Realty
BMOB3,Bemobi
SOJA3,Boa Safra Sementes
PMAM3,Paranapanema
MDIA3,M. Dias Branco
USIM3,Usiminas
TASA4,Taurus
CMIG3,Cemig
MDNE3,Moura Dubeux
ZAMP3,Zamp
FIQE3,Unifique
VVEO3,Viveo
MEAL3,IMC Alimentação
BRBI11,BR Partners
LEVE3,Mahle Metal Leve
TRIS3,Trisul
SAPR3,Sanepar
PNVL3,Dimed
VLID3,Valid
BRST3,Brisanet
BLAU3,Blau Farmacêutica
WIZC3,Wiz Soluções
ITSA3,Itaúsa
PINE4,Banco Pine
TCSA3,Tecnisa
PFRM3,Profarma
MELK3,Melnick
VTRU3,VITRUBREPCOM
RCSL3,Recrusul
UNIP6,Unipar
GFSA3,Gafisa
PRNR3,Priner
LPSB3,Lopes
POMO3,Marcopolo
AGRO3,BrasilAgro
VITT3,Vittia
ETER3,Eternit
RNEW4,Renova Energia
AERI3,Aeris Energy
ALLD3,Allied
CSUD3,CSU Cardsystem
SEQL3,Sequoia Logística
IGTI3,Jereissati Participações
IGTI3,Iguatemi
MATD3,Mater Dei
ALPK3,Estapar
HBRE3,HBR Realty
ROMI3,Indústrias ROMI
TAEE4,Taesa
DESK3,Desktop
SCAR3,São Carlos
RNEW3,Renova Energia
DMVF3,D1000 Varejo Farma
TRAD3,Traders Club
AMAR3,Lojas Marisa
TAEE3,Taesa
DEXP3,Dexxos
PTBL3,Portobello
GOAU3,Metalúrgica Gerdau
EALT4,Electro Aço Altona
SANB4,Banco Santander
SANB3,Banco Santander
GGBR3,Gerdau
TECN3,Technos
EUCA4,Eucatex
LVTC3,WDC Networks
DOTZ3,Dotz
AALR3,Alliança
BRAP3,Bradespar
MTSA4,Metisa
CAMB3,Cambuci
COCE5,Coelce
WEST3,Westwing
FICT3,Fictor Alimentos
SHOW3,Time For Fun
PDTC3,Padtec
AGXY3,AgroGalaxy
CEBR6,CEB
WHRL4,Whirlpool
UCAS3,Unicasa
AMOB3,Automob
LAND3,Terra Santa
RNEW11,Renova Energia
BMEB4,Banco Mercantil do Brasil
TASA3,Taurus
BRKM3,Braskem
RPMG3,Refinaria de Manguinhos
JFEN3,João Fortes
HAGA3,Haga
ALUP4,Alupar
LUXM4,Trevisa
NGRD3,Neogrid
VSTE3,LE LIS BLANC
REAG3,REAG3
BPAC3,Banco BTG Pactual
LUPA3,Lupatech
BEES3,Banestes
HOOT4,Hotéis Othon
FHER3,Fertilizantes Heringer
OIBR4,Oi
EQPA3,Equatorial Energia Pará
RAPT3,Randon
SNSY5,Sansuy
BSLI4,Banco de Brasília
LOGN3,Log-In
BRSR3,Banrisul
BIED3,BIED3
BGIP4,Banese
BEES4,Banestes
UNIP3,Unipar
HAGA4,Haga
CLSC4,Celesc
RSUL4,Metalúrgica Riosulense
BIOM3,Biomm
EPAR3,Embpar Participações
BPAC5,Banco BTG Pactual
PTNT4,Pettenati
ENGI3,Energisa
CGRA4,Grazziotin
ENGI4,Energisa
BOBR4,Bombril
EALT3,Electro Aço Altona
INEP4,Inepar
PEAB4,Participações Aliança da Bahia
ISAE3,ISA Energia
ATED3,ATOM EDUCAÇÃO E EDITORA S.A.
TELB4,Telebras
VIVR3,Viver
EMAE4,EMAE
PINE3,Banco Pine
WHRL3,Whirlpool
TPIS3,Triunfo
RSID3,Rossi Residencial
NUTR3,Nutriplant
ALUP3,Alupar
CEEB3,COELBA
BSLI3,Banco de Brasília
AVLL3,Alphaville
BAZA3,Banco da Amazônia
TELB3,Telebras
PPLA11,PPLA
OFSA3,Ourofino Saúde Animal
MNDL3,Mundial
DEXP4,Dexxos
RDNI3,RNI
REDE3,Rede Energia
OSXB3,OSX Brasil
AZEV11,Azevedo & Travassos
CGRA3,Grazziotin
CEBR5,CEB
ALPA3,Alpargatas
CEDO4,Cedro Têxtil
CTSA4,Santanense
AMAR11,Lojas Marisa
EKTR4,Elektro
CEBR3,CEB
PINE11,Banco Pine
NEXP3,Brasil Brokers
UNIP5,Unipar
CTKA4,Karsten
MNPR3,Minupar
BMIN4,Banco Mercantil de Investimentos
BRKM6,Braskem
MGEL4,Mangels
DOHL4,Döhler
TKNO4,Tekno
BNBR3,Banco do Nordeste
PEAB3,Participações Aliança da Bahia
MRSA5B,MRS Logística
BALM4,Baumer
MWET4,Wetzel
AFLT3,Afluente T
CEED3,CEEE D
NORD3,Nordon
RPAD3,Alfa Holdings
BMKS3,Monark
WLMM4,WLM
EUCA3,Eucatex
CRPG5,Tronox Pigmentos
CTSA3,Santanense
GEPA4,Rio Paranapanema Energia
INEP3,Inepar
SNSY3,Sansuy
ESTR4,Estrela
LUPA11,LUPA11
CGAS5,Comgás
FESA3,Ferbasa
PTNT3,Pettenati
CGAS3,Comgás
CLSC3,Celesc
EQMA3B,Equatorial Maranhão
CCTY3,REDVECO PROPERTIES S.A
CCTY3,RDVC CITY
FIEI3,Fica
TKNO3,Tekno
PATI3,Panatlântica
GEPA3,Rio Paranapanema Energia
PATI4,Panatlântica
WLMM3,WLM
CBEE3,Ampla Energia
MAPT4,Cemepe
CRPG6,Tronox Pigmentos
BMEB3,Banco Mercantil do Brasil
GSHP3,General Shopping & Outlets
BAUH4,Excelsior
ENMT4,Energisa MT
MOAR3,Monteiro Aranha
ENMT3,Energisa MT
BDLL3,Bardella
PLAS3,Plascar
MSPA3,Melhoramentos
AHEB3,São Paulo Turismo
SOND6,Sondotécnica
CPLE5,Copel
COCE3,Coelce
FRIO3,Metalfrio
EQPA7,Equatorial Energia Pará
CRPG3,Tronox Pigmentos
BDLL4,Bardella
SOND5,Sondotécnica
CEDO3,Cedro Têxtil
DTCY3,Dtcom
BRSR5,Banrisul
IGTI4,Iguatemi
IGTI4,Jereissati Participações
PSVM11,PORTO VM
BGIP3,Banese
RPAD5,Alfa Holdings
MAPT3,Cemepe
EKTR3,Elektro
